説明(英語),説明(英語)
引数説明(英語),引数説明(英語)
詳細説明(英語),詳細説明(英語)
,
Basic marker detection.,基本的なマーカー検出
image : input image,image : 入力画像
dictionary : indicates the type of markers that will be searched,dictionary : 検索対象となるマーカーの種類を示す
"corners : vector of detected marker corners. For each marker, its four corners are provided, (e.g std::vector<std::vector<cv::Point2f> > ). For N detected markers, the dimensions of this array is Nx4. The order of the corners is clockwise.",corners : 検出されたマーカーの角のベクトル．各マーカーには，その4つのコーナーが提供されます（例：std::vector<std::vector<cv::Point2f> > ）．N個のマーカーが検出された場合、この配列の次元はNx4となります。また，コーナーの順番は時計回りです．
"ids : vector of identifiers of the detected markers. The identifier is of type int (e.g. std::vector<int>). For N detected markers, the size of ids is also N. The identifiers have the same order than the markers in the imgPoints array.",ids : 検出されたマーカの識別子のベクトル．識別子はint型です（例：std::vector<int>）．検出されたマーカーがN個の場合，idsのサイズもNとなる．識別子は，imgPoints配列中のマーカーと同じ順番である．
parameters : marker detection parameters,parameters : マーカー検出時のパラメータ
rejectedImgPoints : contains the imgPoints of those squares whose inner code has not a correct codification. Useful for debugging purposes.,rejectedImgPoints : 内部コードが正しくない正方形のimgPointsを含む．デバッグの際に便利です．
cameraMatrix : optional input 3x3 floating-point camera matrix \(A = \vecthreethree{f_x}{0}{c_x}{0}{f_y}{c_y}{0}{0}{1}\),cameraMatrix : オプションである入力 3x3 浮動小数点カメラ行列 ˶(A = ˶ˆ꒳ˆ˵ )
"distCoeff : optional vector of distortion coefficients \((k_1, k_2, p_1, p_2[, k_3[, k_4, k_5, k_6],[s_1, s_2, s_3, s_4]])\) of 4, 5, 8 or 12 elements","distCoeff : オプションで，4，5，8，12個の要素を持つ歪み係数\((k_1, k_2, p_1, p_2[, k_3[, k_4, k_5, k_6],[s_1, s_2, s_3, s_4])を格納するベクトル"
